0|iata_code|1|city_rus
AAA|AAA|Анаа|Анаа
AAB|AAB||
AAC|AAC|Аль-Ариш|Аль-Ариш
AAD|AAD||
AAE|AAE||
AAF|AAF||
AAG|AAG||
AAH|AAH|Аахен|Аахен
AAI|AAI||
AAJ|AAJ|Аварадам|Аварадам
AAK|AAK|Аранука|Аранука
AAL|AAL|Аальбург|Аальбург
AAM|AAM|Мала-Мала|Мала-Мала
AAN|AAN|Аль-Айн|Аль-Айн
AAO|AAO|Анако|Анако
AAP|AAP||
AAQ|AAQ|Анапа|Анапа
AAR|AAR|Аарус|Аарус
AAS|AAS||
AAT|AAT|Алтай|Алтай
AAU|AAU|Асау|Асау
AAV|AAV||
AAW|AAW||
AAX|AAX||
AAY|AAY|Аль-Гайда|Аль-Гайда
AAZ|AAZ||
ABA|ABA|Абакан|Абакан
ABB|ABB|Абингдон|Абингдон
ABC|ABC|Албасет|Албасет
ABD|ABD|Абадан|Абадан
ABF|ABF|Абайянг|Абайянг
ABG|ABG|Абингдон|Абингдон
ABH|ABH||
ABI|ABI||
ABJ|ABJ|Абиджан|Абиджан
ABK|ABK|Кабри-Дар|Кабри-Дар
ABL|ABL||
ABM|ABM||
ABN|ABN|Альбина|Альбина
ABO|ABO||
ABP|ABP|Аткамба|Аткамба
ABQ|ABQ|Альбукерк|Альбукерк
ABR|ABR||
ABS|ABS|Абу-Симбель|Абу-Симбель
ABT|ABT||
ABU|ABU||
ABV|ABV|Абуджа|Абуджа
ABW|ABW|Абау|Абау
ABX|ABX|Элбери|Элбери
ABY|ABY|Олбани|Олбани
ABZ|ABZ||
ACB|ACB||
ACC|ACC||
ACD|ACD|Аканди|Аканди
ACE|ACE|Арресиф|Арресиф
ACH|ACH||
ACI|ACI|Элдерни|Элдерни
ACJ|ACJ|Анурадхапура|Анурадхапура
ACK|ACK||
ACL|ACL||
ACM|ACM|Арика|Арика
ACN|ACN|Сиудад-Акуна|Сиудад-Акуна
ACO|ACO|Аскона|Аскона
ACP|ACP||
ACR|ACR|Араракуара|Араракуара
ACS|ACS|Ачинск|Ачинск
ACT|ACT|Вако|Вако
ACU|ACU|Ахутупо|Ахутупо
ACV|ACV||
ACX|ACX||
ACY|ACY|Атлантик Сити|Атлантик Сити
ACZ|ACZ|Забол|Забол
ADA|ADA|Адана|Адана
ADB|ADB|Измир|Измир
ADC|ADC||
ADD|ADD|Аддис Абеба|Аддис Абеба
ADE|ADE|Аден|Аден
ADF|ADF||
ADG|ADG||
ADH|ADH|Алдан|Алдан
ADI|ADI||
ADJ|ADJ|Амман|Амман
ADK|ADK||
ADL|ADL|Аделаида|Аделаида
ADM|ADM|Ардмор|Ардмор
ADN|ADN|Андес|Андес
ADO|ADO||
ADP|ADP||
ADQ|ADQ||
ADR|ADR||
ADS|ADS|Даллас|Даллас
ADT|ADT|Ада|Ада
ADU|ADU||
ADV|ADV|Эндовер|Эндовер
ADW|ADW||
ADX|ADX||
ADY|ADY|Оллдейз|Оллдейз
ADZ|ADZ|Остров Сан Андрес|Остров Сан Андрес
AEA|AEA|Абемама-Атолл|Абемама-Атолл
AED|AED||
AEG|AEG|Эк-Годан|Эк-Годан
AEH|AEH||
AEI|AEI|Альгесирас|Альгесирас
AEK|AEK|Асеки|Асеки
AEL|AEL|Альберт Ли|Альберт Ли
AEO|AEO||
AEP|AEP|Буэнос-Айрес|Буэнос-Айрес
AER|AER|Адлер|Адлер
AES|AES||
AET|AET||
AEU|AEU||
AEX|AEX||
AEY|AEY|Акурейри|Акурейри
AFA|AFA|Сан-Рафаэль|Сан-Рафаэль
AFD|AFD|Порт Альфред|Порт Альфред
AFF|AFF|Колорадо Спрингз|Колорадо Спрингз
AFI|AFI|Амалфи|Амалфи
AFK|AFK||
AFL|AFL|Алта-Флореста|Алта-Флореста
AFN|AFN||
AFO|AFO|Афтон|Афтон
AFR|AFR|Афоре|Афоре
AFS|AFS|Зарафшан|Зарафшан
AFT|AFT|Афутара|Афутара
AFW|AFW||
AFY|AFY|Афион|Афион
AFZ|AFZ||
AGA|AGA|Агадир|Агадир
AGB|AGB|Мюнхен|Мюнхен
AGC|AGC|Питтсборо|Питтсборо
AGD|AGD|Ангги|Ангги
AGE|AGE|Вангерооге|Вангерооге
AGF|AGF|Аген|Аген
AGG|AGG|Ангорам|Ангорам
AGH|AGH||
AGI|AGI|Вагенинген|Вагенинген
AGJ|AGJ|Агуни|Агуни
AGK|AGK|Кагуа|Кагуа
AGL|AGL|Ванигела|Ванигела
AGM|AGM||
AGN|AGN||
AGO|AGO||
AGP|AGP|Малага|Малага
AGQ|AGQ|Агринио|Агринио
AGR|AGR|Агра|Агра
AGS|AGS||
AGT|AGT|Кудад-дель-Эсте|Кудад-дель-Эсте
AGU|AGU|Агуаскалиентес|Агуаскалиентес
AGV|AGV|Акарикуа|Акарикуа
AGW|AGW||
AGX|AGX|Агатти-Айленд|Агатти-Айленд
AGY|AGY||
AGZ|AGZ|Аггенейз|Аггенейз
AHA|AHA|Окинава|Окинава
AHB|AHB|Абха|Абха
AHC|AHC||
AHD|AHD|Ардмор|Ардмор
AHE|AHE||
AHF|AHF||
AHH|AHH||
AHI|AHI|Амахаи|Амахаи
AHL|AHL|Аисхалтон|Аисхалтон
AHN|AHN|Афины|Афины
AHO|AHO||
AHS|AHS|Ахуас|Ахуас
AHT|AHT|Ам-Тиман|Ам-Тиман
AHU|AHU||
AHY|AHY|Амбатолахи|Амбатолахи
AHZ|AHZ||
AIA|AIA||
AIB|AIB||
AIC|AIC||
AID|AID||
AIE|AIE|Айоме|Айоме
AIF|AIF||
AIG|AIG|Ялинга|Ялинга
AIH|AIH||
AII|AII||
AIK|AIK||
AIL|AIL|Айлиганди|Айлиганди
AIM|AIM||
AIN|AIN||
AIO|AIO||
AIP|AIP||
AIR|AIR||
AIS|AIS|Ароре-Айленд|Ароре-Айленд
AIT|AIT|Аитутаки|Аитутаки
AIU|AIU||
AIV|AIV||
AIW|AIW||
AIY|AIY|Атлантик Сити|Атлантик Сити
AIZ|AIZ||
AJA|AJA|Аяччио|Аяччио
AJF|AJF||
AJI|AJI|Агри|Агри
AJJ|AJJ|Акжужт|Акжужт
AJK|AJK||
AJL|AJL|Айзаул|Айзаул
AJN|AJN|Анжуан|Анжуан
AJO|AJO|Альюф|Альюф
AJR|AJR|Арвидсьяур|Арвидсьяур
AJS|AJS|Абреохос|Абреохос
AJU|AJU|Аракайю|Аракайю
AJY|AJY||
AKA|AKA|Анькан|Анькан
AKB|AKB||
AKC|AKC||
AKD|AKD|Акола|Акола
AKE|AKE|Акиени|Акиени
AKF|AKF|Куфра|Куфра
AKG|AKG|Ангуганак|Ангуганак
AKH|AKH||
AKI|AKI||
AKJ|AKJ|Асахикава|Асахикава
AKK|AKK||
AKL|AKL|Окленд|Окленд
AKM|AKM|Закума|Закума
AKN|AKN||
AKO|AKO|Akron|Akron
AKP|AKP||
AKQ|AKQ|Астраксетра|Астраксетра
AKR|AKR|Акере|Акере
AKT|AKT|Акротири|Акротири
AKU|AKU|Аксу|Аксу
AKV|AKV||
AKW|AKW||
AKX|AKX|Актюбинск|Актюбинск
AKY|AKY||
ALA|ALA|Алматы|Алматы
ALB|ALB|Олбани|Олбани
ALC|ALC|Аликанте|Аликанте
ALD|ALD|Алерта|Алерта
ALE|ALE||
ALF|ALF|Алта|Алта
ALG|ALG||
ALH|ALH|Олбани|Олбани
ALI|ALI||
ALJ|ALJ|Александер-Бей|Александер-Бей
ALK|ALK|Асела|Асела
ALL|ALL|Албенга|Албенга
ALM|ALM|Аламогордо|Аламогордо
ALN|ALN||
ALO|ALO|Ватерло|Ватерло
ALP|ALP|Алеппо|Алеппо
ALQ|ALQ||
ALR|ALR|Александра|Александра
ALS|ALS|Аламоса|Аламоса
ALT|ALT||
ALU|ALU|Алула|Алула
ALV|ALV|Андорра-ла-Велла|Андорра-ла-Велла
ALW|ALW||
ALX|ALX||
ALY|ALY|Александрия|Александрия
ALZ|ALZ||
AMA|AMA||
AMB|AMB|Амбилобе|Амбилобе
AMC|AMC||
AMD|AMD|Ахмедабад|Ахмедабад
AME|AME|Альто-Молокуэ|Альто-Молокуэ
AMF|AMF|Ама|Ама
AMG|AMG||
AMH|AMH|Арба-Минч|Арба-Минч
AMI|AMI||
AMJ|AMJ||
AMK|AMK|Дуранго|Дуранго
AML|AML||
AMM|AMM|Амман|Амман
AMN|AMN||
AMO|AMO|Мао|Мао
AMP|AMP|Ампанихи|Ампанихи
AMQ|AMQ|Амбон|Амбон
AMR|AMR|Арно|Арно
AMS|AMS|Амстердам|Амстердам
AMT|AMT||
AMU|AMU|Аманаб|Аманаб
AMV|AMV|Амдерма|Амдерма
AMW|AMW||
AMX|AMX||
AMY|AMY|Амбатомаинти|Амбатомаинти
AMZ|AMZ|Ардмор|Ардмор
ANA|ANA|Анахайм|Анахайм
ANB|ANB||
ANC|ANC|Анкораж|Анкораж
AND|AND||
ANE|ANE|Анжер|Анжер
ANF|ANF|Антофагаста|Антофагаста
ANG|ANG|Ангулем|Ангулем
ANH|ANH||
ANI|ANI||
ANJ|ANJ|Занага|Занага
ANK|ANK|Анкара|Анкара
ANL|ANL|Андуло|Андуло
ANM|ANM|Анталаха|Анталаха
ANN|ANN||
ANO|ANO||
ANP|ANP|Аннаполис|Аннаполис
ANQ|ANQ|Ангола|Ангола
ANR|ANR|Антверпен|Антверпен
ANS|ANS|Андауайлас|Андауайлас
ANT|ANT||
ANU|ANU||
ANV|ANV||
ANW|ANW||
ANX|ANX|Анденес|Анденес
ANY|ANY||
ANZ|ANZ||
AOA|AOA|Ароа|Ароа
AOB|AOB|Аннаберг|Аннаберг
AOC|AOC|Альтенбург|Альтенбург
AOD|AOD|Абу-Дейя|Абу-Дейя
AOE|AOE|Эскишехир|Эскишехир
AOG|AOG|Аньшань|Аньшань
AOH|AOH|Лима|Лима
AOI|AOI|Анкона|Анкона
AOJ|AOJ|Аомори|Аомори
AOK|AOK|Карпатос|Карпатос
AOL|AOL||
AON|AON|Арона|Арона
AOO|AOO||
AOR|AOR|Алор-Сетар|Алор-Сетар
AOS|AOS||
AOT|AOT|Аоста|Аоста
AOU|AOU|Аттопью|Аттопью
APA|APA|Денвер|Денвер
APB|APB|Аполо|Аполо
APC|APC|Напа|Напа
APE|APE|Сан-Хуан-Апосенто|Сан-Хуан-Апосенто
APF|APF|Неаполь|Неаполь
APG|APG||
APH|APH||
API|API|Апиай|Апиай
APK|APK||
APL|APL|Нампула|Нампула
APN|APN||
APO|APO|Апартадо|Апартадо
APP|APP|Асапа|Асапа
APQ|APQ||
APR|APR|Эйприл-Ривер|Эйприл-Ривер
APS|APS||
APT|APT|Джаспер|Джаспер
APU|APU||
APV|APV|Эппл Вэлли|Эппл Вэлли
APW|APW||
APX|APX||
APY|APY||
APZ|APZ|Запала|Запала
AQA|AQA||
AQB|AQB||
AQG|AQG|Аньцин|Аньцин
AQI|AQI|Кайсумах|Кайсумах
AQJ|AQJ|Акаба|Акаба
AQM|AQM||
AQP|AQP|Арекуипа|Арекуипа
AQS|AQS|Сакани|Сакани
AQY|AQY||
ARA|ARA||
ARB|ARB||
ARC|ARC||
ARD|ARD|Алор-Айленд|Алор-Айленд
ARE|ARE||
ARF|ARF||
ARG|ARG||
ARH|ARH|Архангельск|Архангельск
ARI|ARI|Арика|Арика
ARJ|ARJ|Арсо|Арсо
ARK|ARK|Аруша|Аруша
ARL|ARL|Арли|Арли
ARM|ARM|Армидаль|Армидаль
ARN|ARN|Стокгольм|Стокгольм
ARO|ARO|Арболетас|Арболетас
ARP|ARP|Араджип|Араджип
ARQ|ARQ|Араукита|Араукита
ARR|ARR|Альто-Рио-Сенгерр|Альто-Рио-Сенгерр
ARS|ARS||
ART|ART||
ARU|ARU||
ARV|ARV||
ARW|ARW|Арад|Арад
ARX|ARX||
ARY|ARY||
ASA|ASA|Ассаб|Ассаб
ASB|ASB|Ашхабад|Ашхабад
ASC|ASC|Аскеншн|Аскеншн
ASD|ASD||
ASE|ASE|Аспен|Аспен
ASF|ASF|Астрахань|Астрахань
